Rank 	Dependents 	Author 	Distribution
1 	17953 	OVID 	Test-Harness
2 	17952 	SBURKE 	Pod-Escapes
3 	17951 	APEIRON 	Module-Metadata
3 	17951 	BINGOS 	IPC-Cmd
3 	17951 	BINGOS 	Module-CoreList
3 	17951 	BINGOS 	Module-Load
3 	17951 	BINGOS 	Module-Load-Conditional
3 	17951 	BINGOS 	Params-Check
3 	17951 	CHORNY 	Text-ParseWords
3 	17951 	DAGOLDEN 	CPAN-Meta
3 	17951 	DAGOLDEN 	CPAN-Meta-Requirements
3 	17951 	DAGOLDEN 	CPAN-Meta-YAML
3 	17951 	DAGOLDEN 	ExtUtils-CBuilder
3 	17951 	DAGOLDEN 	Parse-CPAN-Meta
3 	17951 	DAGOLDEN 	Perl-OSType
3 	17951 	DANKOGAI 	Encode
3 	17951 	DLAND 	File-Path
3 	17951 	DWHEELER 	Pod-Simple
3 	17951 	FLORA 	ExtUtils-Manifest
3 	17951 	FLORA 	Text-Abbrev
3 	17951 	GBARR 	IO
3 	17951 	JESSE 	Locale-Maketext-Simple
3 	17951 	JPEACOCK 	version
3 	17951 	JV 	Getopt-Long
3 	17951 	LEONT 	Module-Build
3 	17951 	MAKAMAKA 	JSON-PP
3 	17951 	MAREKR 	Pod-Parser
3 	17951 	MSCHWERN 	ExtUtils-MakeMaker
3 	17951 	MSCHWERN 	Test-Simple
3 	17951 	MUIR 	Text-Tabs+Wrap
3 	17951 	PEVANS 	Scalar-List-Utils
3 	17951 	RRA 	podlators
3 	17951 	SAPER 	constant
3 	17951 	SBURKE 	Test
3 	17951 	SMUELLER 	Data-Dumper
3 	17951 	SMUELLER 	ExtUtils-ParseXS
3 	17951 	SMUELLER 	PathTools
3 	17951 	TJENNESS 	File-Temp
3 	17951 	TODDR 	Exporter
3 	17951 	YVES 	ExtUtils-Install
3 	17951 	ZEFRAM 	Carp
42 	9505 	SAPER 	XSLoader
43 	7054 	GAAS 	MIME-Base64
44 	6876 	RGARCIA 	base
45 	6245 	GAAS 	Digest
46 	6051 	GAAS 	Digest-MD5
47 	5579 	NWCLARK 	ExtUtils-Constant
48 	5568 	PEVANS 	Socket
49 	5519 	DOY 	Try-Tiny
50 	5396 	GAAS 	URI
51 	5260 	PETDANCE 	HTML-Tagset
52 	5257 	GAAS 	HTML-Parser
53 	5247 	DROLSKY 	Time-Local
54 	5015 	PMQS 	Compress-Raw-Zlib
55 	4990 	RJBS 	Test-Fatal
56 	4981 	PMQS 	Compress-Raw-Bzip2
57 	4979 	PMQS 	IO-Compress
58 	4891 	GBARR 	libnet
59 	4862 	ADAMK 	Params-Util
60 	4804 	GAAS 	HTTP-Date
61 	4786 	DAGOLDEN 	Sub-Uplevel
62 	4772 	GAAS 	LWP-MediaTypes
63 	4771 	GAAS 	Encode-Locale
64 	4769 	GAAS 	HTTP-Message
65 	4726 	TOKUHIROM 	Test-Requires
66 	4692 	ADAMK 	List-MoreUtils
67 	4614 	GAAS 	Net-HTTP
68 	4609 	GAAS 	HTTP-Daemon
69 	4590 	GAAS 	HTTP-Cookies
70 	4581 	GAAS 	File-Listing
70 	4581 	GAAS 	WWW-RobotRules
72 	4580 	GAAS 	HTTP-Negotiate
73 	4579 	GAAS 	libwww-perl
74 	4449 	RJBS 	Sub-Install
75 	4411 	RJBS 	Data-OptList
76 	4406 	RJBS 	Sub-Exporter
77 	4316 	ADIE 	Test-Exception
78 	4299 	ZEFRAM 	Module-Runtime
79 	4288 	FDALY 	Test-Tester
80 	4151 	DROLSKY 	Module-Implementation
81 	4145 	AMS 	Storable
82 	3882 	DOY 	Dist-CheckConflicts
83 	3879 	DROLSKY 	Package-DeprecationManager
84 	3877 	DOY 	Package-Stash
85 	3845 	ZEFRAM 	Time-HiRes
86 	3635 	DROLSKY 	Class-Load
87 	3538 	ADAMK 	Task-Weaken
88 	3512 	CORION 	parent
89 	3369 	ADAMK 	Test-NoWarnings
90 	3345 	SMUELLER 	Attribute-Handlers
91 	3183 	FLORA 	Algorithm-C3
92 	3181 	FLORA 	Class-C3
93 	3158 	FLORA 	MRO-Compat
94 	3108 	LEONT 	Sub-Exporter-Progressive
95 	3062 	FLORA 	Sub-Name
96 	3058 	DROLSKY 	Params-Validate
97 	3051 	RIBASUSHI 	Devel-GlobalDestruction
98 	3020 	RURBAN 	Filter
99 	2946 	COGENT 	Tree-DAG_Node
100 	2928 	CHORNY 	Test-Warn
